Key,zh,en,es
LOAD_MAP,加载地图,Load map,Load map
LOAD_BGM,加载音乐,Load BGM,Load BGM
LOAD_PROJECTILE,加载子弹,Load projectile,Load projectile
LOAD_AUDIO,加载音效,Load audio,Load audio
LOAD_CHARACTER,加载植物和僵尸,Load character,Load character
LOAD_TALK,加载对话,Load talk,Load talk
LOAD_TUTORIAL,加载教程,Load tutorial,Load tutorial
LOAD_PACKETBANK,加载卡牌库,Load packetbank,Load packetbank
LOAD_COLLECTABLE,加载收集物,Load collectable,Load collectable
LOAD_SHOVEL,加载铲子,Load shovel,Load shovel
LOAD_MOWER,加载小推车,Load mower,Load mower
LOAD_SHOP,加载商店,Load shop,Load shop
LOAD_LEVEL,加载关卡,Load level,Load level
LOAD_MOD,加载模组,Load mod,Load mod

LOGIN_SUCCESS,登录成功!,Log in successfully,Log in successfully
LOGIN_FAILD,登录失败!,Log in failed,Log in failed
LOGIN_ERROR_EMAIL_EMPTY,邮箱为空,Email is empty,Email is empty
LOGIN_ERROR_PASSWORD_EMPTY,密码为空,Password is empty,Password is empty
REGIST_SUCCESS,注册成功!,Registered successfully,Registered successfully 
REGIST_FAILD,注册失败!,Registration failed,Registration failed
REGIST_ERROR_PASSWORD_NOT_SAME,"再次输入密码与密码不同",Password not same,Password not same
REGIST_ERROR_PASSWORD_LESS_THAN_EIGHT,"密码长度需大于8位",Password length must be greater than 8,Password length must be greater than 8

MATCH_CREATE_ERROR,创建比赛失败!,Create match failed,Create match failed

START_GAME,开始游戏,Start,Start
TUTORIAL_EASY,我是新手,I'm a beginner,I'm a beginner
TUTORIAL_NORMAL,我是高手,I'm a pro,I'm a pro
TUTORIAL_HARD,我是老手,I'm a veteran,I'm a veteran
TUTORIAL_DIALOG,你对植物大战僵尸这款游戏的熟悉程度,How familiar are you with Plants vs. Zombies?,How familiar are you with Plants vs. Zombies?

DIALOG_LOGIN,登录,LOGIN,LOGIN
DIALOG_EMAIL,邮箱,EMAIL,EMAIL
DIALOG_PASSWORD,密码,PASSWORD,PASSWORD
DIALOG_REGISTER,注册,REGISTER,REGISTER
DIALOG_USERNAME,用户名,USERNAME,USERNAME
DIALOG_PAUSE,游戏暂停,PAUSE,PAUSE
DIALOG_MUSIC,音乐,Music,Music
DIALOG_SFX,音效,Sound FX,Sound FX
DIALOG_EXIT,退出关卡,EXIT,EXIT
DIALOG_RESTART,重新开始,RESTART,RESTART
DIALOG_RESUME,继续游戏,RESUME,RESUME

NEXTLEVEL,下一关,Next level,Next level
MAINMENU,主菜单,Main Menu,Main Menu

AWARD_PACKET_PLANT,你获得了一株新植物!,You got a new plant!,You got a new plant!
AWARD_COLLECTABLE_SHOVEL,你获得了一把新铲子!,You got a new shovel,You got a new shovel

SHOP_OPEN,你获得了金币，现在商店开启了！\n你可以在商店购买你所需要的物品！,,

SHOP_NPC_TALK_IDLE_1,感谢你对杂交版的游玩和关注！如果对游戏设计有什么建议，欢迎说给我听听哦！,,
SHOP_NPC_TALK_IDLE_2,通关遇到困难？试着买一些道具吧，适当使用道具可以让游戏更轻松哦！,,
SHOP_NPC_TALK_IDLE_3,明码标价，童叟无欺！,,
SHOP_NPC_TALK_IDLE_4,潜艇伟伟迷的花俏小玩意！24小时全天候为您服务！,,
SHOP_NPC_TALK_PACKETSLOT,额外的卡槽！让你在每关可多携带一种植物！,,
SHOP_NPC_TALK_NUTBANDAGING,坚果包扎术，能让你直接覆盖种植受伤的坚果！对高坚果和南瓜壳同样有效！,,
SHOP_NPC_TALK_POYREPLACEMENT,花盆替换术，能让你直接替换种植不同种类的花盆！对睡莲同样有效哦！,,
SHOP_NPC_TALK_PITCHFORK,这把草耙能给僵尸当头一棒！它会自动摆放在僵尸的必经之路上！,,
SHOP_NPC_TALK_SUNCOLLECT,阳光手套，能帮你自动拾取场上的阳光！,,
SHOP_NPC_TALK_COINCOLLECT,吸金磁的场外支援，能帮你自动拾取掉落的钱币！,,
SHOP_NPC_TALK_SHOVEL_DIAMOND,钻石铲，铲掉植物能回收大量阳光！,,
SHOP_NPC_TALK_PITCHFORK_SUN,阳光草耙，干掉僵尸的同时掉落阳光！能使用三关！,,
SHOP_NPC_TALK_MOWER_SUN,阳光小推车，碾压僵尸能够获得阳光！,,

SHOP_NPC_TALK_PLANT_SUNSHROOM_CUSTOM_1,阳光向日葵的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_CATPOT_CUSTOM_0,猫砂盆的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_SNOWSHROOM_CUSTOM_0,雪花寒冰菇的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_WINTERMELONGSHROOM_CUSTOM_0,冰瓜大喷菇的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_GARGANTUARSHROOM_CUSTOM_0,红眼菇的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_FIRESNOWPEA_CUSTOM_0,冰火裂荚射手的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_GLOOMPULT_CUSTOM_0,忧郁菇投手的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_JALASUNSHROOM_CUSTOM_0,辣椒阳光菇的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_PEACAT_CUSTOM_0,豌豆香蒲的皮肤！你可以在图鉴装扮你的植物！,,
